text,label
"“@JetBlue: @sylvie75015 Good morning, Sylvie! Have a great flight! #yourock” &gt; Thank you #JetBlue! @mxo42 @henrikwagner73 #JetBlueRocks",1
@USAirways but need to confirm please help,0
"@united no, I had to leave for work. Would have not been possible. So I would love to have this replaced now",0
"@united Bad coffee, but the juice is ok. #GetPhilz @ United Terminal SFO Airport http://t.co/Sg7IQqFVsO",-1
"@united I have a flight from omaha to chicago (en route to NYC) and they are seating me and my partner separate, please fix this res# ILC0HP",-1
@AmericanAir #customerservice. Sitting on my fourth plane today with a mechanical problem. No excuses for this. Tough to be loyal.,-1
@JetBlue ok. I'll book JB to JFK then book to ATH. Thank you.,1
@JetBlue it's noting about me i m perfectly fine it's the attitude and dealings with flyers. Stubborn. Demanding. Unwilling to accommodate.,-1
@USAirways now U horrible people say you have no where for her to sleep?,-1
"@JetBlue messaged you, thanks",1
@united hilarious,-1
"@JetBlue's CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/zSdGzyDNDe",0
@jetblue who's running your tweeter using the word fleek?,0
@USAirways been delayed three times now finally boarded. Been waiting 20 minutes. Now being told the plan has to be completely powered down.,-1
@united thanks for making sure they hear the message!,1
@united no u don't,-1
“@JetBlue: @benjaminokeefe Thanks for including us on your tour! Did you pack your winter coat?”Unfortunately yes ❄️⛄️ #WereNotinCaliAnymore,-1
@USAirways a member of your staff at PHL just gave us excellent customer care. Shame the same couldn't be said for the past 24 hours.,-1
@AmericanAir hi there flight from Dallas just Cancelled Flightled going to LA. Can u pls help rebook me?,-1
@AmericanAir These are some awesome photos. Thanks for sharing! 😁,1
@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?,-1
@USAirways @AmericanAir flight 849's four subsequent delays destroyed my travel plans this evening. Looking to resolve this matter.,-1
@AmericanAir no I will be calling corporate!,-1
@AmericanAir as usual my next flight shows on time but it's suppose to leave in 5 minutes and hasn't boarded,-1
@AmericanAir followed!  Sure hope you can help!,0
@USAirways You suck!!  Do you even know the meaning of contingency plan?????,-1
@AmericanAir please pray for us that our gear is not lost or stolen due to YOUR incompetent employees. #CNN #ABCNews #MSNBC #Photography,-1
@united has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!,-1
@united Tks for reply. PSP employees blamed Late Flight departure on POTUS when main reasons were DVR flt Late Flight &amp; insufficient ground crew to handle,-1
@AmericanAir ive literally been holding for more than 2 HOURS now. i was told 2hrs. You all are sabotaging any chance i have of getting home,-1
@united thank you. Been trying for two days to set this up.,1
@USAirways  ! THE WORST in customer service. @USAirways ! Calling for over a month to book a flight! #poorcustomerservice #usairwaysfflyer,-1
@united Ha… you rebooked me in to an 11 hr layover &amp; are robbing me of a night with my family. Too Late Flight for that. Just fly on time for once.,-1
@JetBlue thanks for making my trip home #MintyFresh next #brandmance flight I'll take more selfies! #LOVE #travel #business,1
@AmericanAir fight got Cancelled Flighted can u help me rebook a flight?  Call center is too busy to answer calls or even put me on hold #yuck,-1
“@JetBlue: Our fleet's on fleek. http://t.co/MB0hVfqB1t”-see what ihop started 😑,0
@united worst airline ever. Thanks for the slew of rude agents and staff making my delayed flights even worse.,-1
@SouthwestAir sign me up!,1
"Why even ask me to DM you and offer help if you ""can't do anything"" @united #terriblecustomerservice #unitedairlines http://t.co/feC4i3Vwq7",-1
"@united Direct Messaged you, didn't hear anything back",-1
"@united Thank you. Yes, I was hoping to speak with someone directly, but appreciate the link nonetheless. :)",-1
@united I’ve filled out the form twice. No email. I have a lost item code. Can you verify it was received?,-1
@AmericanAir is there not an email address I can send my issue to? you guys screwed up and rebooked my flight to the wrong day!  please help,-1
@united if I wait I'll lose the flight. So frustrating.,-1
@AmericanAir the reservation system won't even let us leave our phone #. I have no way to fix that you rebooked me on wrong day!,-1
@JetBlue You also promised to change my wife's name on the account and it is also not done.  WTF?,-1
@USAirways oh yay! Now gate agents decide not to deal with upgrade list and just bump up whoever is closest.,-1
@united Why was I forced to check my rollaboard on UA 715? Plenty of room in the overhead next to my seat. http://t.co/5xvNnmLTiW,-1
